date,equity,close,state,side,emaFast,ema52,dea,fourDif,priceCross,longAllowed,filterLong
"2024-12-28",12911.90679395037,95300,"up",1,97293.82349164337,92851.93464105786,1099.6613116135795,-624.4175008083694,false,true,true
"2024-12-29",12662.17858005075,93738.2,"up",1,97020.3139922862,92885.37861686699,837.9276409053608,-640.993172683724,false,true,true
"2024-12-30",12510.891379653054,92792.05,"up",1,96695.0629159565,92881.85678226824,568.7764711271541,-753.4455491876288,false,true,true
"2024-12-31",12636.2431745606,93576,"up",1,96455.13499934446,92908.05086595623,320.29661346182854,-440.7754156508454,false,true,true
"2025-01-01",12798.66565016381,94591.79,"up",1,96311.80076862566,92971.5881917692,113.2751739022172,-173.41755900635326,false,true,true
"2025-01-02",13181.300824873622,96984.79,"transition",1,96363.56917103907,93123.02976943829,-18.98778607895342,577.8989583351358,true,true,true
"2025-01-03",13371.481539645083,98174.18,"transition",1,96502.84692711299,93313.639212101,-78.4408366590626,908.0067300836672,false,true,true
"2025-01-04",13378.888000695046,98220.5,"transition",1,96634.97408656584,93498.80377013492,-88.22362835531331,884.6631624487782,false,true,true
"2025-01-05",13401.770959262836,98363.61,"transition",1,96767.94607990692,93682.38136371474,-63.87691798790141,686.989098765931,false,true,true
"2025-01-06",14020.893220075479,102235.6,"down",1,97188.53484299101,94005.14433112173,42.50613573459594,1309.0608957657678,false,false,true
"2025-01-07",13176.475112557393,96954.61,"up",1,97170.54062429939,94116.44492240016,110.37921350563497,398.71215389386634,false,true,true
"2025-01-08",12873.628885687192,95060.61,"up",1,97008.23826858406,94152.07379325299,120.08772514814581,-805.981992597488,false,true,true
"2025-01-09",12472.586288782397,92552.49,"up",1,96665.48840176991,94091.71214067741,52.54158339288747,-1473.3260957870953,false,true,true
"2025-01-10",12457.787359329417,94726.11,"transition",0,96516.30544778761,94115.65168253865,-25.32631336501062,-860.7219416063454,false,true,true
"2025-01-11",12457.787359329417,94599.99,"transition",0,96368.89656718857,94133.9286001787,-107.53616952331788,-565.3670101268508,false,true,true
"2025-01-12",12457.787359329417,94545.06,"transition",0,96228.6014466356,94149.4429926248,-188.78918459660719,-314.7215403981827,false,true,true
"2025-01-13",12457.787359329417,94536.1,"transition",0,96098.40902766364,94164.03382309178,-264.8957157276479,-603.8906453219242,false,true,true
"2025-01-14",12457.787359329417,96560.86,"transition",0,96133.98217938183,94254.48009391851,-300.8792861387764,337.1771780613781,true,true,true
"2025-01-15",12855.457755768553,100497.35,"transition",1,96469.62585789092,94490.06009037442,-246.33808024547102,1239.3002468061022,false,true,true
"2025-01-16",12802.636141211515,99987.3,"transition",1,96740.2161765147,94697.50310583199,-145.4929340024921,1391.5890382684738,false,true,true
"2025-01-17",13226.22189050846,104077.48,"down",1,97304.62108601358,95051.46449806474,44.676196665725584,2160.688266795114,false,false,false
"2025-01-18",13275.802025728894,104556.23,"up",1,97862.43715632023,95410.1348943642,288.3992407582298,1978.346552963063,false,true,false
"2025-01-19",12941.850947212084,101331.57,"up",1,98129.29352891099,95633.58527570895,500.8075884103773,1470.2946085921867,false,true,true
